company_ntn,company_name,incorporation_date,registered_address,principal_business,status,paid_up_capital
9809485-9,Premier Builders,2011-05-10,"House 121, Street 33, Johar Town, Lahore",Trading,Active,50000000
1749644-0,Pak Builders,2015-01-27,"House 618, Street 9, Gulshan-e-Iqbal, Karachi",IT Services,Active,50000000
7830950-8,Allied Associates,2023-01-24,"House 776, Street 23, DHA Phase 6, Karachi",Food & Beverage,Active,500000000
1909330-0,Pak Traders,2015-01-06,"House 709, Street 22, Gulgasht Colony, Multan",Logistics,Active,50000000
8935538-3,Star Holdings,2009-10-30,"House 761, Street 13, I-8, Islamabad",Real Estate,Active,50000000
9877475-3,Global Builders,2008-04-10,"House 876, Street 16, Gulgasht Colony, Multan",Logistics,Active,50000000
9625332-4,Global Holdings,2020-02-29,"House 316, Street 52, Bahadurabad, Karachi",Real Estate,Active,50000000
1161243-5,Royal International,2022-11-11,"House 303, Street 14, Hayatabad, Peshawar",Construction,Active,50000000
8265760-0,Pak Enterprises,2014-05-25,"House 189, Street 17, Gulberg III, Lahore",Logistics,Active,500000000
4850770-0,Apex International,2012-02-28,"House 792, Street 53, DHA Phase 6, Karachi",Logistics,Active,50000000
4027468-7,Pak Industries,2019-11-16,"House 843, Street 27, Jaranwala Road, Faisalabad",Trading,Active,500000000
8489921-0,Summit Builders,2014-05-31,"House 105, Street 28, DHA-I, Rawalpindi",Construction,Active,50000000
3735768-7,Pak International,2022-04-01,"House 122, Street 38, Johar Town, Lahore",Pharmaceuticals,Active,50000000
6629771-6,Star Traders,2008-07-16,"House 850, Street 24, University Town, Peshawar",Construction,Active,500000000
3884121-7,Star Industries,2023-06-08,"House 261, Street 7, Paris Road, Sialkot",Food & Beverage,Active,50000000
7073688-9,Apex Holdings,2015-09-26,"House 682, Street 16, Model Town, Multan",Pharmaceuticals,Active,500000000
1765713-6,Star Enterprises,2020-02-14,"House 599, Street 3, Gulbahar, Peshawar",Food & Beverage,Active,500000000
5624813-9,Metro Associates,2017-01-20,"House 877, Street 43, Model Town, Lahore",Real Estate,Active,50000000
1528949-0,Crescent Associates,2015-09-26,"House 737, Street 30, PECHS, Karachi",Pharmaceuticals,Active,50000000
5795286-6,Summit Enterprises,2014-04-07,"House 609, Street 5, Paris Road, Sialkot",Trading,Active,50000000
4800809-1,Summit International,2013-01-31,"House 666, Street 39, Peoples Colony, Faisalabad",IT Services,Active,50000000
5911578-2,Apex Traders,2022-03-25,"House 923, Street 48, Model Town, Sialkot",Textile,Active,50000000
4982625-3,Allied (Pvt) Ltd,2020-04-02,"House 100, Street 22, Johar Town, Lahore",IT Services,Active,50000000
1313656-3,Star Builders,2011-07-23,"House 378, Street 53, Shah Rukn-e-Alam, Multan",Textile,Active,50000000
7781870-5,Metro Builders,2019-07-22,"House 628, Street 60, Peoples Colony, Gujranwala",IT Services,Active,500000000
9586700-8,United Holdings,2019-12-24,"House 797, Street 27, Cantt, Multan",IT Services,Active,50000000
6593761-3,United International,2016-06-30,"House 671, Street 55, Model Town, Lahore",Real Estate,Active,50000000
9113893-9,Apex Industries,2020-02-29,"House 425, Street 4, F-10, Islamabad",Import/Export,Active,500000000
7730971-5,Royal Holdings,2010-07-15,"House 704, Street 14, G-9, Islamabad",IT Services,Active,50000000
9675903-0,Premier Enterprises,2010-09-21,"House 491, Street 42, Hayatabad, Peshawar",Construction,Active,50000000
3909958-2,Star (Pvt) Ltd,2020-12-15,"House 650, Street 44, Model Town, Sialkot",Textile,Active,500000000
4386265-1,Metro Builders,2008-01-01,"House 9, Street 47, Hayatabad, Peshawar",IT Services,Active,500000000
4634199-1,Premier Enterprises,2014-04-03,"House 641, Street 21, Model Town, Multan",Trading,Active,50000000
6849945-1,Premier International,2009-08-30,"House 752, Street 20, Cantt, Multan",Logistics,Active,50000000
5802155-7,Allied Holdings,2021-02-07,"House 562, Street 11, DC Colony, Gujranwala",Construction,Active,50000000
6765199-6,Allied Enterprises,2017-07-08,"House 961, Street 31, DC Colony, Gujranwala",IT Services,Active,50000000
8006770-7,Crescent (Pvt) Ltd,2022-08-17,"House 711, Street 17, Kashmir Road, Sialkot",Logistics,Active,50000000
6322180-3,Pak Traders,2009-01-29,"House 429, Street 21, Gulshan-e-Iqbal, Karachi",Textile,Active,500000000
2619456-9,United Enterprises,2020-10-26,"House 995, Street 57, D Ground, Faisalabad",Logistics,Active,50000000
5160187-0,Premier Industries,2011-03-13,"House 176, Street 50, D Ground, Faisalabad",IT Services,Active,50000000
7816324-9,Pak Associates,2020-07-27,"House 780, Street 29, G-11, Islamabad",Logistics,Active,50000000
6311053-3,Allied Enterprises,2008-04-29,"House 235, Street 34, Bahria Town, Rawalpindi",Trading,Active,50000000
3284639-0,Premier International,2013-08-23,"House 88, Street 8, Cantt, Multan",Real Estate,Active,50000000
2494039-3,Global Traders,2009-09-24,"House 668, Street 4, Hayatabad, Peshawar",Textile,Active,50000000
6106508-5,Crescent International,2016-08-27,"House 853, Street 47, Hayatabad, Peshawar",Trading,Active,50000000
3289613-9,Star Associates,2011-01-28,"House 293, Street 51, DHA-II, Islamabad",Textile,Active,500000000
9716907-5,Star Associates,2018-11-07,"House 959, Street 37, Cantt, Multan",IT Services,Active,500000000
7368433-4,Metro International,2012-04-30,"House 534, Street 53, D Ground, Faisalabad",Real Estate,Active,500000000
2885986-7,Allied Builders,2008-06-15,"House 114, Street 1, Chaklala Scheme 3, Rawalpindi",Trading,Active,50000000
1999405-1,Capital International,2017-02-13,"House 123, Street 28, Westridge, Rawalpindi",Construction,Active,500000000
9850538-1,Global Enterprises,2020-07-13,"House 934, Street 17, F-6, Islamabad",IT Services,Active,50000000
9675093-2,Star Industries,2019-11-16,"House 332, Street 35, Model Town, Sialkot",Construction,Active,50000000
9511608-1,Global Holdings,2023-05-30,"House 357, Street 42, F-7, Islamabad",Logistics,Active,500000000
4110883-8,Metro Industries,2011-01-20,"House 258, Street 9, PECHS, Karachi",Trading,Active,50000000
6944301-1,Capital Industries,2018-12-02,"House 651, Street 4, DHA Phase 5, Lahore",IT Services,Active,500000000
9219481-3,Apex Builders,2016-05-06,"House 386, Street 35, Wapda Town, Lahore",Pharmaceuticals,Active,50000000
7855138-8,Global Holdings,2010-07-05,"House 59, Street 39, Peoples Colony, Gujranwala",Food & Beverage,Active,500000000
2844839-2,Metro Builders,2015-06-29,"House 741, Street 22, Cantt, Peshawar",IT Services,Active,500000000
9907367-8,Pak (Pvt) Ltd,2016-06-22,"House 735, Street 53, North Nazimabad, Karachi",Textile,Active,50000000
9495926-5,Royal (Pvt) Ltd,2016-04-20,"House 90, Street 46, DC Colony, Gujranwala",Import/Export,Active,50000000
5794451-9,Global Builders,2015-10-27,"House 439, Street 50, Hayatabad, Peshawar",Construction,Active,50000000
2696654-0,Summit (Pvt) Ltd,2018-03-19,"House 342, Street 3, G-9, Islamabad",Textile,Active,50000000
2975358-1,Metro Associates,2008-12-08,"House 785, Street 48, Model Town, Multan",Trading,Active,500000000
4476008-6,Capital Associates,2012-06-09,"House 793, Street 31, Cantt, Peshawar",Trading,Active,50000000
1227997-6,Premier International,2018-01-13,"House 979, Street 3, Gulshan-e-Iqbal, Karachi",Trading,Active,500000000
6311139-2,Premier (Pvt) Ltd,2023-03-10,"House 804, Street 18, PECHS, Karachi",Textile,Active,50000000
7968144-3,Allied (Pvt) Ltd,2009-12-30,"House 896, Street 36, Gulberg III, Lahore",Construction,Active,500000000
8207644-2,Pak Builders,2016-03-16,"House 290, Street 36, Shah Rukn-e-Alam, Multan",Trading,Active,50000000
1217439-6,Summit Enterprises,2009-03-09,"House 101, Street 4, Clifton, Karachi",Food & Beverage,Active,500000000
4837932-0,Pak Industries,2010-11-27,"House 730, Street 57, Cantt, Peshawar",Food & Beverage,Active,50000000
1922433-9,Allied Builders,2021-03-03,"House 194, Street 32, Gulgasht Colony, Multan",Logistics,Active,50000000
9163429-3,Pak Associates,2014-07-05,"House 248, Street 53, University Town, Peshawar",Textile,Active,50000000
1620898-6,Star Industries,2019-02-16,"House 821, Street 17, Gulshan-e-Iqbal, Karachi",IT Services,Active,50000000
6822257-4,Premier Traders,2021-03-18,"House 498, Street 2, Jaranwala Road, Faisalabad",Real Estate,Active,50000000
7785857-5,Global Associates,2018-03-29,"House 778, Street 10, Gulgasht Colony, Multan",Import/Export,Active,50000000
6353874-9,Crescent Holdings,2012-05-10,"House 477, Street 1, G-9, Islamabad",IT Services,Active,500000000
5079399-6,Crescent Associates,2020-07-28,"House 958, Street 58, Kashmir Road, Sialkot",Construction,Active,50000000
4954705-5,Royal Builders,2013-02-15,"House 2, Street 5, North Nazimabad, Karachi",Real Estate,Active,50000000
3086815-0,United Traders,2018-07-01,"House 293, Street 43, University Town, Peshawar",Construction,Active,50000000
5121912-5,Summit Associates,2021-05-21,"House 317, Street 11, Peoples Colony, Gujranwala",Real Estate,Active,50000000
2866556-9,Apex Industries,2009-08-03,"House 58, Street 46, Satellite Town, Gujranwala",Food & Beverage,Active,500000000
4967392-3,Global Associates,2009-09-01,"House 886, Street 2, Bahadurabad, Karachi",Food & Beverage,Active,50000000
9683873-8,Global Holdings,2013-07-18,"House 395, Street 1, DHA-I, Rawalpindi",Textile,Active,50000000
7191240-4,Star Traders,2020-07-01,"House 908, Street 28, DHA Phase 6, Karachi",IT Services,Active,50000000
6284010-2,Royal Industries,2015-12-02,"House 49, Street 13, Jaranwala Road, Faisalabad",Textile,Active,50000000
7859653-3,Capital Associates,2022-09-05,"House 732, Street 47, Gulgasht Colony, Multan",Logistics,Active,50000000
2496658-8,Summit Enterprises,2008-03-17,"House 952, Street 58, Gulbahar, Peshawar",Trading,Active,500000000
4413591-4,Star Traders,2018-08-25,"House 761, Street 11, Bahria Town, Rawalpindi",Pharmaceuticals,Active,50000000
2143029-1,Global International,2022-04-07,"House 127, Street 32, University Town, Peshawar",IT Services,Active,500000000
1651791-3,Star Holdings,2017-09-28,"House 120, Street 20, G-11, Islamabad",IT Services,Active,500000000
